Conference,Team Name,Net Rating Rank,Seed,Region,Post-Season Tournament,Raw Offensive Efficiency,Raw Offensive Efficiency Rank,Raw Defensive Efficiency,Raw Defensive Efficiency Rank
American Athletic Conference (AAC),North Texas,72,5,NIT 1,NIT,108.3,113,100.7,70
Mountain West Conference (MW),UNLV,73,7,NIT 1,NIT,108.6,111,104.3,162
American Athletic Conference (AAC),Memphis,74,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,110.7,68,104.1,155
Atlantic Coast Conference (ACC),Boston College,75,6,NIT 1,NIT,108.9,107,105.3,188
Big Ten Conference (Big 10),Penn State,76,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,106.2,156,103.9,145
Big West Conference (BWC),UC Irvine,77,7,NIT 4,NIT,109.5,95,97.6,25
Sun Belt Conference (SBC),Appalachian State,78,8,NIT 2,NIT,109.7,91,96.6,13
Big Ten Conference (Big 10),Minnesota,79,5,NIT 3,NIT,110.8,65,105.9,207
Atlantic 10 Conference (A-10),VCU,79,8,NIT 4,NIT,107,141,99.8,51
Southern Conference (SoCon),Samford,81,13,Midwest,March Madness,114,26,100.9,76
Atlantic 10 Conference (A-10),Richmond,82,6,NIT 2,NIT,106.4,149,97.5,24
Atlantic Coast Conference (ACC),Florida State,83,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,105.7,170,105.6,197
Atlantic 10 Conference (A-10),Duquesne,84,11,East,March Madness,104.8,190,99.8,50
Southeastern Conference (SEC),Ole Miss,84,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,109.2,99,107.7,250
Pac-12 Conference,USC,86,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,104.8,192,105,182
Ivy League,Yale,86,13,East,March Madness,110.4,75,102.2,100
Atlantic Coast Conference (ACC),Syracuse,88,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,105.2,179,106.2,214
American Athletic Conference (AAC),South Florida,89,5,NIT 4,NIT,110.1,81,100.3,61
Southeastern Conference (SEC),Georgia,90,4,NIT 2,NIT,105.9,165,105.3,189
Big Ten Conference (Big 10),Indiana,91,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,104.3,201,107.1,235
Southeastern Conference (SEC),LSU,92,4,NIT 1,NIT,107.1,138,104.8,180
Atlantic 10 Conference (A-10),Loyola Chicago,92,6,NIT 3,NIT,103.7,218,96.7,15
Atlantic 10 Conference (A-10),Massachusetts,94,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,111.4,55,102.1,98
Conference USA (CUSA),Louisiana Tech,95,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,107.2,137,97.3,20
Atlantic 10 Conference (A-10),George Mason,96,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,108.7,110,101.6,86
Pac-12 Conference,UCLA,97,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,102,250,102.1,99
Coastal Athletic Association (CAA),Charleston,98,13,West,March Madness,114.4,23,104.2,160
Atlantic Coast Conference (ACC),Miami,99,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,107.3,133,105.4,190
Atlantic 10 Conference (A-10),Saint Josephs,99,8,NIT 1,NIT,109.8,88,102.3,105
Big Ten Conference (Big 10),Rutgers,101,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,94.8,341,96.7,14
Atlantic 10 Conference (A-10),St. Bonaventure,102,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,110,85,103,120
Ivy League,Cornell,103,7,NIT 2,NIT,112.3,47,104.6,174
American East Conference (AmEast),Vermont,104,13,South,March Madness,107.5,125,97.2,19
Pac-12 Conference,Stanford,105,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,105.9,163,106.5,219
American Athletic Conference (AAC),UAB,106,12,East,March Madness,111.1,61,109,270
Southeastern Conference (SEC),Arkansas,107,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,105.9,164,109.1,272
Southern Conference (SoCon),Western Carolina,108,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,109.4,97,101.7,88
West Coast Conference (WCC),Santa Clara,109,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,108.6,112,103.8,144
"Ohio Valley Conference (OVC, The Valley)",Morehead State,110,14,East,March Madness,110.6,72,99.6,44
Missouri Valley Conference (MVC),Northern Iowa,110,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,106.6,146,105.3,187
Missouri Valley Conference (MVC),Belmont,112,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,107.5,129,105.4,191
Big South Conference,High Point,112,1,CBI,CBI,117.9,8,107,232
Coastal Athletic Association (CAA),Hofstra,114,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,110,86,103.5,136
Big 12 Conference,Oklahoma State,114,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,103.1,227,106.1,212
Mid-American Conference (MAC),Akron,116,14,Midwest,March Madness,107.8,122,99.7,49
Western Athletic Conference (WAC),UT Arlington,117,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,106,161,103.6,140
Coastal Athletic Association (CAA),UNC Wilmington,118,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,113.8,28,107.3,241
American Athletic Conference (AAC),Charlotte,119,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,106.7,145,104.2,156
Big West Conference (BWC),UC San Diego,120,2,CBI,CBI,111.2,57,103.7,141
Western Athletic Conference (WAC),Seattle U,121,3,CBI,CBI,104,210,97.1,18
Pac-12 Conference,California,122,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,104,209,107.8,252
Missouri Valley Conference (MVC),Southern Illinois,122,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,108.9,105,103.5,134
Atlantic 10 Conference (A-10),Davidson,124,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,102.7,236,102,96
Coastal Athletic Association (CAA),Drexel,124,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,108.9,108,101.4,82
Atlantic Coast Conference (ACC),Notre Dame,126,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,97.6,312,102.4,108
Big Ten Conference (Big 10),Michigan,127,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,104.4,200,113.6,345
Pac-12 Conference,Arizona State,128,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,97.5,314,104.6,172
Atlantic Coast Conference (ACC),Georgia Tech,128,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,102.5,244,108.8,269
Sun Belt Conference (SBC),Troy,128,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,107.5,127,101.2,79
Sun Belt Conference (SBC),Arkansas State,131,4,CBI,CBI,112.5,44,109.8,292
Conference USA (CUSA),Western Kentucky,132,15,South,March Madness,104.9,187,98.5,32
Summit League (The Summit),South Dakota State,133,15,East,March Madness,110.1,79,104.1,152
Horizon League,Youngstown State,133,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,111.1,58,102.4,107
Western Athletic Conference (WAC),Tarleton State,135,2,Lou Henson Classic,CIT,105.7,169,104,147
Horizon League,Oakland,136,14,South,March Madness,110.7,70,105.6,196
American Athletic Conference (AAC),Tulane,136,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,109.3,98,108.3,262
Mid-American Conference (MAC),Toledo,138,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,113,35,107.6,245
Conference USA (CUSA),Liberty,139,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,108.2,114,103.2,125
Southern Conference (SoCon),Chattanooga,140,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,111.4,54,106,209
Southern Conference (SoCon),Furman,141,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,110.2,78,107.2,238
Big 12 Conference,West Virginia,141,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,100.6,273,110.9,313
Mid-American Conference (MAC),Ohio,143,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,110.9,64,103.5,135
Conference USA (CUSA),Sam Houston,143,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,103.2,226,100.9,74
Patriot League,Colgate,145,14,West,March Madness,106.4,151,96.9,16
Summit League (The Summit),St. Thomas-Minnesota,146,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,110.5,73,102.8,114
Coastal Athletic Association (CAA),Towson,147,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,104.4,199,100.8,72
Southern Conference (SoCon),UNC Greensboro,148,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,109.6,92,105.9,206
Big Sky Conference,Eastern Washington,149,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,112.4,46,109.1,273
Southeastern Conference (SEC),Missouri,150,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,105,185,110.7,308
Missouri Valley Conference (MVC),Missouri State,151,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,102.5,245,102.8,115
Sun Belt Conference (SBC),Louisiana,152,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,106.6,147,103.4,129
American East Conference (AmEast),UMass Lowell,153,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,106.1,158,99.6,45
Big Sky Conference,Weber State,154,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,109.8,89,104.6,173
American Athletic Conference (AAC),Wichita State,155,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,103.3,222,105.1,184
Big Sky Conference,Montana,156,5,CBI,CBI,112.9,38,108.1,255
Mountain West Conference (MW),Wyoming,156,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,105.2,180,111,315
Big South Conference,Longwood,158,16,South,March Madness,107.3,132,101.4,81
Pac-12 Conference,Oregon State,159,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,100.9,265,109.2,275
Horizon League,Purdue Fort Wayne,160,1,Jim Phelan Classic,CIT,108.9,106,100.5,64
